dataset_id,role,source_type,analysis_allowed,tier,cited_by,note
Kosterlitz_blaTEM,oracle_only,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,32 genotypes (2^5) x 3 hosts (Ec/Kp/Se) x ~29 CTX concentrations (87 treatments); pooled c
Mira2015_TEM_panel,oracle_only,secondary_distribution,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,15 files x 16 genotypes (2^4); fitness = log fold-change vs WT (MEGN = 0); floor-clipped a
Jalal2020_ParB_NBS,single_task_control,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"20^4 = 160,000 complete; deg 76; criterion 4 (replicates) NOT verified - derived CSV has n"
Jalal2020_Noc_parS,single_task_control,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"20^4 = 160,000 complete; deg 76; DIFFERENT PROTEIN from ParB_NBS (AMENDMENT-007 s2) - the "
MaveDB_scoresets,oracle_only,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,site-level terms are SPA-rendered and could not be read; use per-score-set license field o
AncSR1_Starr2017,conditional,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,LICENSE VERIFIED BY PARENT (Dryad API v2 -> CC0-1.0) on 2026-09-19; BLOCKER IS TECHNICAL N
TEV_ProtRec,task_panel,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"L1 task-panel (134 substrates; 29,716 proteases); NOT a combinatorial landscape (randomize"
DAOx_multi_substrate,task_panel,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,L1 task-panel (5 D-amino-acid substrates); single-mutant scanning only - must NOT be descr
amiE_Wrenbeck2017,oracle_only,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,L1 task-panel (3 substrates); all single mutants; original deposit URL NOT verified in M1 
glmS_Andreasson2020,modality_control,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,67 sites; all single+double mutants; 5 ligand concentrations; per-measurement stErr + one 
Soo2021_RNA_8site,modality_control,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"4^8 = 65,536 complete; 2 temperatures; positions use A/C/G/U so topology degree = 8x3 = 24"
Rotrattanadumrong2022_ribozyme,modality_control,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"4^8 = 65,536 complete; replicate count columns (Ligated_1/2, Unligated_1/2, FL_1/2, RA_1/2"
DHFR_Lozovsky,oracle_only,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,16 genotypes (2^4); 5 conditions (c57-c61); derived aggregate -> local-only | v1.1 license
Hsp90_EMPIRIC,oracle_only,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"NOT verified in M1: identity, size, site structure and deposit URL all remain unverified |"
GraphFLA_corpus,oracle_only,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,163 CSV in data/BioSequence (project scope) + 32 in other modality dirs; use for candidate
