dataset_id,protein_or_system,source_type,original_deposit_url,fetched_url,paper_license,source_data_license,code_license,analysis_allowed,redistribution_allowed,redistribution_basis,role,theoretical_space_size,complete_product,observed_genotype_count,notes
TEM-1CML,TEM-1 beta-lactamase,author_deposit,https://github.com/msadikyildiz/Gaszek_Yildiz_Meng_2025 | https://doi.org/10.5281/zenodo.21442350,local clone: <PROJECT_ROOT>/data/external/TEM1_Gaszek2025,CC BY-NC-ND 4.0 (Crossref verified),GPL-3.0,GPL-3.0,TRUE,TRUE,"ingested artifact = author GitHub repo whose LICENSE file is GPL-3.0 (local clone verified, 35,823 B); paper is CC BY-NC-ND but the data files are governed by the repository license",strict_multi_task,55296,TRUE,55296,"55,296 = 4x3^3x2^9 (measured per-position); topology degree 18; AMP 781 / AZT 36 pre-registered; triplicate; processed wide table has 55,294 rows (3 real genotypes absent; XXXXXXXXXXXXX = dead anchor row present) | v1.1 license field = GPL-3.0"
Mira2015_TEM_panel,TEM-1 beta-lactamase (15 beta-lactams),secondary_distribution,https://doi.org/10.1371/journal.pone.0122283,https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/Mira2015_TEM_*),CC BY 4.0 (Crossref verified),not stated (GraphFLA secondary distribution),"MIT (GraphFLA repo; covers code only, not the data files)",TRUE,FALSE,ingested artifact = GraphFLA secondary distribution (repo MIT covers code only); no author-side deposit exists -> C8-2 local-only,oracle_only,16,TRUE,16,15 files x 16 genotypes (2^4); fitness = log fold-change vs WT (MEGN = 0); floor-clipped at -1.90534896288408; NO replicates; re-fetch from PLoS One supplementary before redistribution | v1.1 license field = original paper CC BY 4.0 (PLoS One); NO author-side deposit found
Jalal2020_ParB_NBS,ParB (NBS DNA site),derived_aggregate,NOT_VERIFIED_IN_M1,https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/Jalal2020_NBS.csv),NOT VERIFIED,NOT VERIFIED,,TRUE,FALSE,no author-side deposit license was read; ingested via GraphFLA repack -> conservative local-only,single_task_control,160000,TRUE,160000,"20^4 = 160,000 complete; deg 76; criterion 4 (replicates) NOT verified - derived CSV has no replicate columns (CL-8) | v1.1 license field = NOT VERIFIED IN M1"
Jalal2020_Noc_parS,Noc (parS DNA site),derived_aggregate,NOT_VERIFIED_IN_M1,https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/Jalal2020_parS.csv),NOT VERIFIED,NOT VERIFIED,,TRUE,FALSE,no author-side deposit license was read; ingested via GraphFLA repack -> conservative local-only,single_task_control,160000,TRUE,160000,"20^4 = 160,000 complete; deg 76; DIFFERENT PROTEIN from ParB_NBS (AMENDMENT-007 s2) - the two files are NOT one protein x 2 tasks | v1.1 license field = NOT VERIFIED IN M1"
MaveDB_scoresets,multiple (e.g. VIM-2),author_deposit,https://www.mavedb.org,https://api.mavedb.org/api/v1/ (per score-set; URN must carry -1 suffix),n/a (database),CC0 1.0 per score set (4 score sets verified),,TRUE,TRUE,MaveDB per-score-set license field = CC0 1.0 (verified on 4 score sets); note score-set URNs require the -1 suffix,oracle_only,,FALSE,,site-level terms are SPA-rendered and could not be read; use per-score-set license field only; VIM-2 = 9 score sets (not 3 beta-lactams x 2 temperatures) | v1.1 license field = CC0 1.0 per score set (4 score sets verified)
AncSR1_Starr2017,ancestral steroid receptor (AncSR1),author_deposit,https://doi.org/10.5061/dryad.jsxksn0hk,https://doi.org/10.5061/dryad.jsxksn0hk,NOT VERIFIED,CC0-1.0,,TRUE,TRUE,"Dryad dataset API v2 license field = CC0-1.0 (verified 2026-09-19); ingested artifact = the Dryad deposit (20 R .rda + 1 .gexf, no CSV)",conditional,160000,TRUE,160000,"LICENSE VERIFIED BY PARENT (Dryad API v2 -> CC0-1.0) on 2026-09-19; BLOCKER IS TECHNICAL NOT LEGAL: Dryad holds 20 R .rda objects + 1 .gexf and NO CSV -> requires R; 160,000 = 20^4 x {ERE,SRE} x 2 independent transformations + SEM; caveat: adjacency defined by SINGLE-NUCLEOTIDE change, not amino-acid Hamming-1 (C7) | v1.1 license field = CC0-1.0"
TEV_ProtRec,TEV protease (DNA recorder),author_deposit,https://doi.org/10.5281/zenodo.15346003,https://zenodo.org/records/15346003,CC BY 4.0 (Crossref verified),CC BY 4.0,,TRUE,TRUE,Zenodo deposit 15346003 license field = cc-by-4.0 (verified via Zenodo API); ingested artifact = that Zenodo deposit,task_panel,,FALSE,29716,"L1 task-panel (134 substrates; 29,716 proteases); NOT a combinatorial landscape (randomized NNK/NNS library, sparse Hamming-1); frozen role enum has no task_panel value | v1.1 license field = CC BY 4.0"
DAOx_multi_substrate,D-amino acid oxidase (DAOx),author_deposit,https://doi.org/10.5281/zenodo.15846928,https://zenodo.org/records/15846928,CC BY-NC-ND 4.0 (Crossref verified),CC BY 4.0,,TRUE,TRUE,Zenodo deposit 15846928 license field = cc-by-4.0 (verified); paper is CC BY-NC-ND but the ingested data record is CC BY,task_panel,,FALSE,6418,L1 task-panel (5 D-amino-acid substrates); single-mutant scanning only - must NOT be described as multi-round evolution | v1.1 license field = CC BY 4.0
amiE_Wrenbeck2017,aliphatic amidase (AMI E),derived_aggregate,NOT_VERIFIED_IN_M1,ProteinGym raw release (AMIE_PSEAE_Wrenbeck_2017),"CC BY 4.0 (reported, not independently verified)",NOT VERIFIED,,TRUE,FALSE,CC BY 4.0 was reported by an earlier survey agent but neither the paper nor the ingested artifact license was independently verified -> conservative local-only,oracle_only,,FALSE,6227,L1 task-panel (3 substrates); all single mutants; original deposit URL NOT verified in M1 | v1.1 license field = CC BY 4.0 (as provided by parent; not independently verified in M1)
glmS_Andreasson2020,glmS ribozyme (RNA),author_deposit,https://doi.org/10.1038/s41467-020-15540-1,https://marks.hms.harvard.edu/rnagym/fitness_prediction/fitness_raw_data.zip,CC BY 4.0 (Crossref verified),not stated (RNAGym raw zip),,TRUE,FALSE,"ingested artifact = RNAGym raw zip whose license is NOT STATED -> per C8-2 the ingested copy is local-only (do NOT re-distribute); NOTE the paper itself is CC BY 4.0 (Crossref verified), so re-sourcing from the journal/author deposit could later permit redistribution",modality_control,,FALSE,,"67 sites; all single+double mutants; 5 ligand concentrations; per-measurement stErr + one independent replicate; RNA -> modality control only, NOT protein evidence | v1.1 license field = CC-BY-4.0"
Soo2021_RNA_8site,RNA 8-site landscape,derived_aggregate,NOT_VERIFIED_IN_M1,"https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/Soo2021_30C.csv, Soo2021_37C.csv)",NOT VERIFIED,not stated (GraphFLA repack),"MIT (GraphFLA repo; covers code only, not the data files)",TRUE,FALSE,ingested via GraphFLA repack; underlying paper license not verified -> local-only,modality_control,65536,TRUE,65536,"4^8 = 65,536 complete; 2 temperatures; positions use A/C/G/U so topology degree = 8x3 = 24 (validated in M0 sweep) | v1.1 license field = NOT VERIFIED IN M1"
Rotrattanadumrong2022_ribozyme,ribozyme (RNA),derived_aggregate,NOT_VERIFIED_IN_M1,https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/NEW_Rotrattanadumrong2022_*.csv),NOT VERIFIED,not stated (GraphFLA repack),"MIT (GraphFLA repo; covers code only, not the data files)",TRUE,FALSE,ingested via GraphFLA repack; underlying paper license not verified -> local-only,modality_control,65536,TRUE,65536,"4^8 = 65,536 complete; replicate count columns (Ligated_1/2, Unligated_1/2, FL_1/2, RA_1/2); schema has no pos/fitness columns; filename contains * so it cannot be git-checked-out on Windows (M0-1b) | v1.1 license field = NOT VERIFIED IN M1"
DHFR_Lozovsky,Plasmodium DHFR,derived_aggregate,NOT_VERIFIED_IN_M1,https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/Lozovsky_DHFR_ic50_*),NOT VERIFIED,reported MIT (not independently verified),,TRUE,FALSE,MIT was reported by an earlier survey agent but not independently verified -> conservative local-only,oracle_only,16,TRUE,16,16 genotypes (2^4); 5 conditions (c57-c61); derived aggregate -> local-only | v1.1 license field = MIT (as provided by parent; not independently verified in M1)
Hsp90_EMPIRIC,Hsp90 (EMPIRIC),derived_aggregate,NOT_VERIFIED_IN_M1,NOT_VERIFIED_IN_M1,NOT VERIFIED,reported CC-BY (not independently verified),,TRUE,FALSE,CC-BY was reported by an earlier survey agent but not independently verified -> conservative local-only,oracle_only,,FALSE,,"NOT verified in M1: identity, size, site structure and deposit URL all remain unverified | v1.1 license field = CC-BY (as provided by parent; not independently verified in M1)"
GraphFLA_corpus,aggregate corpus (195 CSV across modalities),derived_aggregate,https://doi.org/10.48550/arXiv.2510.24826,https://github.com/COLA-Laboratory/GraphFLA (data/**),n/a (aggregator),not stated (repo MIT covers code only),"MIT (GraphFLA repo; covers code only, not the data files)",TRUE,FALSE,repository MIT covers code only; per-dataset licenses are not covered -> no redistribution of its data files,oracle_only,,FALSE,,163 CSV in data/BioSequence (project scope) + 32 in other modality dirs; use for candidate discovery and baseline features ONLY - must never be used to adjudicate criteria 2/3/4 (CL-8) | v1.1 license field = repo MIT covers code only; per-dataset licenses NOT covered
