dataset_id,graph_eligible,n_groups,task_condition,task_panel_tier
TEV_ProtRec,False,3963,ENLYEQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2858,ENLYFAS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2989,ENLYFCS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2228,ENLYFDS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3544,ENLYFES,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3826,ENLYFFS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2188,ENLYFGS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2602,ENLYFHS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4345,ENLYFIS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2959,ENLYFKS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2280,ENLYFLS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4022,ENLYFMS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3065,ENLYFNS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4054,ENLYFPS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3059,ENLYFQ*,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,34378,ENLYFQA,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,32174,ENLYFQC,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,37498,ENLYFQD,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,33832,ENLYFQE,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,29606,ENLYFQF,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,36391,ENLYFQG,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,30510,ENLYFQH,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,35413,ENLYFQI,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,39496,ENLYFQK,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,33563,ENLYFQL,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,31004,ENLYFQM,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,30648,ENLYFQN,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,30999,ENLYFQP,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,29157,ENLYFQQ,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,36273,ENLYFQR,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,56326,ENLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,34749,ENLYFQT,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,31962,ENLYFQV,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,37311,ENLYFQW,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,30082,ENLYFQY,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2879,ENLYFRS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2625,ENLYFSS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3418,ENLYFTS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2352,ENLYFVS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2920,ENLYFWS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3291,ENLYFYS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3368,ENLYGQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4058,ENLYHQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3049,ENLYIQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3592,ENLYKQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1624,ENLYLQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3381,ENLYMQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3741,ENLYNQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3629,ENLYPQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2820,ENLYQQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3100,ENLYRQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2805,ENLYSQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2687,ENLYTQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3020,ENLYVQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3235,ENLYWQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2611,ENLYYQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2119,ENMYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3043,ENNYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2497,ENPYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4255,ENQYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2910,ENRYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3958,ENSYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3077,ENTYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3283,ENVYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,755,ENWYFQC,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2111,ENWYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2071,ENYYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,288,EPLYFES,descriptive_sensitivity_only
TEV_ProtRec,False,2530,EPLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3309,EQLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3177,ERLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,960,ESLYFQD,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4133,ESLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,309,ETLYFFS,descriptive_sensitivity_only
TEV_ProtRec,False,1934,ETLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3651,EVLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,639,EVLYSQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2538,EWLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,606,EYLYFQM,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2053,EYLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2604,FNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2447,GNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,386,HNLYFQK,descriptive_sensitivity_only
TEV_ProtRec,False,3778,HNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2842,INLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2713,KNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3,KTCILKS,exclude_from_task_level_inference
TEV_ProtRec,False,504,LNLYFQH,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3024,LNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1359,LNLYFQT,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,466,MNLYCQS,descriptive_sensitivity_only
TEV_ProtRec,False,951,MNLYFKS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2584,MNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2360,NNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3392,PNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,112,QNLYFIS,descriptive_sensitivity_only
TEV_ProtRec,False,321,QNLYFQG,descriptive_sensitivity_only
TEV_ProtRec,False,1107,QNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1691,RNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1458,RNLYMQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,967,SNLYFHS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3052,SNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3678,TNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1959,VNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3849,WNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3109,YNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,227,YNLYFQW,descriptive_sensitivity_only
