dataset_id,task_id,role,graph_eligible,task_panel_eligible,future_task_eligible,boundary_status,boundary_evidence,ceiling_status,measurement_state_policy,n_groups,present_frac,exact_frac,censored_frac,boundary_ambiguous_frac,missing_frac,informative_fraction,usable_uncertainty,degree_topology,d_present_mean,d_informative_mean,source_hash,processed_hash,inclusion_exclusion_reason
Phillips2021_CR9114,fluB,single_task_control,True,False,False,explicit,assay_detection,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65536,100.0,0.44,99.55,0.0,0.0,0.25,100.0,16,15.9995,0.04,cr9114.csv=ee31f8fc26fce2730d2ae772e7a095aa334b4c6c5d8e7fbfe4b4a5a1c9a794fe,b7f28640ec7855782e2f8b82768faf2f82e56e932224fb63e20a399f4f4d7878,informative_frac=0.25% < 50%（CL-9 主任务门槛）
TEV_ProtRec,ENIYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2292,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENKYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2405,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLAFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2574,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLCFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2422,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLCFRG,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,674,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLDFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3999,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLEFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3200,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLFFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,4120,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLGFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,1717,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLHFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3470,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLIFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2871,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLKFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3821,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLLFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2573,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLMFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2224,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLNFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3883,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLPFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3256,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLQFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2726,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLRFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2835,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLSFKS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,9,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLSFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3418,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLTFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,874,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLVFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,1946,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENLWFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2514,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
