dataset_id,protein_or_system,role,source_type,official_source,paper_license,source_data_license,analysis_allowed,redistribution_allowed,redistribution_basis,theoretical_space_size,complete_product,observed_genotype_count
Kosterlitz_blaTEM,TEM-1 blaTEM (multi-host),oracle_only,author_deposit,https://doi.org/10.5281/zenodo.10045641,CC BY 4.0 (Crossref verified),NONE (repo has NO LICENSE file),TRUE,FALSE,Zenodo deposit 10045641 license = cc-by-4.0 (verified) BUT the ingested artifact is the author GitHub repo with NO LICENSE file -> C8-2 local-only for the ingested copy,32,TRUE,32
Mira2015_TEM_panel,TEM-1 beta-lactamase (15 beta-lactams),oracle_only,secondary_distribution,https://doi.org/10.1371/journal.pone.0122283,CC BY 4.0 (Crossref verified),not stated (GraphFLA secondary distribution),TRUE,FALSE,ingested artifact = GraphFLA secondary distribution (repo MIT covers code only); no author-side deposit exists -> C8-2 local-only,16,TRUE,16
Jalal2020_ParB_NBS,ParB (NBS DNA site),single_task_control,derived_aggregate,NOT_VERIFIED_IN_M1,NOT VERIFIED,NOT VERIFIED,TRUE,FALSE,no author-side deposit license was read; ingested via GraphFLA repack -> conservative local-only,160000,TRUE,160000
Jalal2020_Noc_parS,Noc (parS DNA site),single_task_control,derived_aggregate,NOT_VERIFIED_IN_M1,NOT VERIFIED,NOT VERIFIED,TRUE,FALSE,no author-side deposit license was read; ingested via GraphFLA repack -> conservative local-only,160000,TRUE,160000
MaveDB_scoresets,multiple (e.g. VIM-2),oracle_only,author_deposit,https://www.mavedb.org,n/a (database),CC0 1.0 per score set (4 score sets verified),TRUE,TRUE,MaveDB per-score-set license field = CC0 1.0 (verified on 4 score sets); note score-set URNs require the -1 suffix,,FALSE,
AncSR1_Starr2017,ancestral steroid receptor (AncSR1),conditional,author_deposit,https://doi.org/10.5061/dryad.jsxksn0hk,NOT VERIFIED,CC0-1.0,TRUE,TRUE,"Dryad dataset API v2 license field = CC0-1.0 (verified 2026-09-19); ingested artifact = the Dryad deposit (20 R .rda + 1 .gexf, no CSV)",160000,TRUE,160000
TEV_ProtRec,TEV protease (DNA recorder),task_panel,author_deposit,https://doi.org/10.5281/zenodo.15346003,CC BY 4.0 (Crossref verified),CC BY 4.0,TRUE,TRUE,Zenodo deposit 15346003 license field = cc-by-4.0 (verified via Zenodo API); ingested artifact = that Zenodo deposit,,FALSE,29716
DAOx_multi_substrate,D-amino acid oxidase (DAOx),task_panel,author_deposit,https://doi.org/10.5281/zenodo.15846928,CC BY-NC-ND 4.0 (Crossref verified),CC BY 4.0,TRUE,TRUE,Zenodo deposit 15846928 license field = cc-by-4.0 (verified); paper is CC BY-NC-ND but the ingested data record is CC BY,,FALSE,6418
amiE_Wrenbeck2017,aliphatic amidase (AMI E),oracle_only,derived_aggregate,NOT_VERIFIED_IN_M1,"CC BY 4.0 (reported, not independently verified)",NOT VERIFIED,TRUE,FALSE,CC BY 4.0 was reported by an earlier survey agent but neither the paper nor the ingested artifact license was independently verified -> conservative local-only,,FALSE,6227
glmS_Andreasson2020,glmS ribozyme (RNA),modality_control,author_deposit,https://doi.org/10.1038/s41467-020-15540-1,CC BY 4.0 (Crossref verified),not stated (RNAGym raw zip),TRUE,FALSE,"ingested artifact = RNAGym raw zip whose license is NOT STATED -> per C8-2 the ingested copy is local-only (do NOT re-distribute); NOTE the paper itself is CC BY 4.0 (Crossref verified), so re-sourcing from the journal/author deposit could later permit redistribution",,FALSE,
Soo2021_RNA_8site,RNA 8-site landscape,modality_control,derived_aggregate,NOT_VERIFIED_IN_M1,NOT VERIFIED,not stated (GraphFLA repack),TRUE,FALSE,ingested via GraphFLA repack; underlying paper license not verified -> local-only,65536,TRUE,65536
Rotrattanadumrong2022_ribozyme,ribozyme (RNA),modality_control,derived_aggregate,NOT_VERIFIED_IN_M1,NOT VERIFIED,not stated (GraphFLA repack),TRUE,FALSE,ingested via GraphFLA repack; underlying paper license not verified -> local-only,65536,TRUE,65536
DHFR_Lozovsky,Plasmodium DHFR,oracle_only,derived_aggregate,NOT_VERIFIED_IN_M1,NOT VERIFIED,reported MIT (not independently verified),TRUE,FALSE,MIT was reported by an earlier survey agent but not independently verified -> conservative local-only,16,TRUE,16
Hsp90_EMPIRIC,Hsp90 (EMPIRIC),oracle_only,derived_aggregate,NOT_VERIFIED_IN_M1,NOT VERIFIED,reported CC-BY (not independently verified),TRUE,FALSE,CC-BY was reported by an earlier survey agent but not independently verified -> conservative local-only,,FALSE,
GraphFLA_corpus,aggregate corpus (195 CSV across modalities),oracle_only,derived_aggregate,https://doi.org/10.48550/arXiv.2510.24826,n/a (aggregator),not stated (repo MIT covers code only),TRUE,FALSE,repository MIT covers code only; per-dataset licenses are not covered -> no redistribution of its data files,,FALSE,
